iter	Passed	Remaining
211	33776	125545
212	33932	125374
213	34090	125212
214	34248	125045
215	34434	124985
216	34577	124766
217	34720	124548
218	34859	124315
219	34992	124065
220	35139	123863
221	35288	123668
222	35436	123471
223	35589	123290
224	35755	123158
225	35914	122997
226	36074	122842
227	36212	122613
228	36384	122498
229	36529	122292
230	36687	122132
231	36839	121952
232	36996	121788
233	37159	121640
234	37319	121485
235	37472	121308
236	37643	121191
237	37811	121061
238	37964	120881
239	38132	120753
240	38287	120580
241	38460	120466
242	38726	120641
243	38897	120517
244	39038	120301
245	39203	120158
246	39369	120020
247	39528	119859
248	39672	119653
249	39807	119423
250	39975	119289
251	40140	119147
252	40354	119147
253	40485	118906
254	40629	118702
255	40797	118566
256	40936	118349
257	41088	118168
258	41261	118048
259	41423	117896
260	41591	117763
261	41759	117629
262	41927	117494
263	42096	117360
264	42239	117154
265	42384	116956
266	42529	116756
267	42704	116639
268	42865	116485
269	43044	116379
270	43220	116264
271	43387	116124
272	43542	115954
273	43688	115758
274	43867	115650
275	44043	115534
276	44221	115423
277	44367	115227
278	44541	115104
279	44699	114942
280	44872	114816
281	45045	114691
282	45229	114591
283	45385	114422
284	45558	114296
285	45716	114130
286	45866	113947
287	46024	113783
288	46212	113693
289	46371	113530
290	46556	113431
291	46732	113309
292	46907	113185
293	47069	113029
294	47217	112841
295	47399	112734
296	47560	112576
297	47721	112416
298	47891	112281
299	48055	112128
300	48259	112070
301	48416	111903
302	48571	111730
303	48740	111590
304	48899	111427
305	49061	111269
306	49238	111147
307	49405	111002
308	49590	110897
309	49742	110717
310	49897	110544
311	50086	110446
312	50225	110240
313	50383	110072
314	50566	109961
315	50756	109865
316	50928	109729
317	51107	109608
318	51267	109446
319	51450	109332
320	51602	109153
321	51757	108980
322	51944	108874
323	52081	108663
324	52260	108540
325	52468	108477
326	52651	108361
327	52833	108244
328	52994	108082
329	53174	107960
330	53321	107770
331	53499	107644
332	53643	107449
333	53803	107284
334	53971	107137
335	54129	106970
336	54297	106821
337	54470	106684
338	54625	106511
339	54770	106319
340	54940	106174
341	55139	106086
342	55312	105949
343	55493	105824
344	55650	105655
345	55829	105527
346	56032	105445
347	56198	105292
348	56364	105137
349	56521	104968
350	56706	104850
351	56866	104686
352	57043	104553
353	57189	104362
354	57352	104203
355	57531	104073
356	57690	103907
357	57836	103718
358	57994	103549
359	58165	103406
360	58309	103213
361	58477	103062
362	58654	102928
363	58824	102780
364	58987	102622
365	59161	102481
366	59341	102352
367	59493	102173
368	59633	101974
369	59799	101820
370	59983	101697
371	60143	101532
372	60297	101357
373	60455	101190
374	60610	101017
375	60774	100859
376	60945	100713
377	61104	100546
378	61284	100415
379	61423	100217
380	61587	100059
381	61745	99892
382	61924	99757
383	62064	99561
384	62219	99388
385	62367	99205
386	62549	99076
387	62708	98911
388	62859	98732
389	63054	98623
390	63218	98466
391	63392	98323
392	63552	98159
393	63709	97990
394	63876	97835
395	64031	97663
396	64201	97515
397	64382	97383
398	64561	97247
